city,country,lat,lng,temp,humidity,cloudiness,windspeed,cityname,dt
Barrow,US,71.29,-156.79,33.8,80,90,12.75,Barrow,1590364201
La Rioja,ES,42.25,-2.5,60.8,77,96,3.36,La Rioja,1590364201
Daru,PG,-9.08,143.21,79.84,87,91,12.86,Daru,1590364201
Hobart,AU,-42.88,147.33,48.2,70,75,6.93,Hobart,1590364001
Hilo,US,19.73,-155.09,80.6,61,90,3.36,Hilo,1590364201
Constitución,CL,-35.33,-72.42,61.41,80,7,8.88,Constitución,1590364059
Ushuaia,AR,-54.8,-68.3,42.8,81,75,5.82,Ushuaia,1590364104
Cape Town,ZA,-33.93,18.42,63.0,82,75,13.87,Cape Town,1590364201
Sola,VU,-13.88,167.55,84.2,66,40,5.82,Sola,1590364201
Bethel,US,41.37,-73.41,63.0,59,1,6.93,Bethel,1590364030
Huambo,AO,-12.78,15.74,55.65,62,95,0.67,Huambo,1590364202
Punta Arenas,CL,-53.15,-70.92,42.8,93,90,8.21,Punta Arenas,1590364202
Rikitea,PF,-23.12,-134.97,71.31,71,81,25.26,Rikitea,1590364202
Namatanai,PG,-3.67,152.43,85.32,69,94,2.93,Namatanai,1590364202
Lata,PT,40.16,-8.33,64.0,86,70,1.39,Lata,1590364202
Arraial do Cabo,BR,-22.97,-42.03,68.25,87,100,14.5,Arraial do Cabo,1590364077
Great Yarmouth,GB,52.61,1.73,54.0,95,42,7.38,Great Yarmouth,1590364203
Hermanus,ZA,-34.42,19.23,59.0,86,84,8.99,Hermanus,1590364203
Hasaki,JP,35.73,140.83,73.99,64,75,5.82,Hasaki,1590364204
Alma,CA,48.55,-71.65,78.8,22,75,8.05,Alma,1590363996
Busselton,AU,-33.65,115.33,57.99,45,90,31.36,Busselton,1590364204
Avarua,CK,-21.21,-159.78,78.8,94,17,9.17,Avarua,1590364204
Bredasdorp,ZA,-34.53,20.04,48.2,87,100,2.24,Bredasdorp,1590364204
Pevek,RU,69.7,170.31,30.15,94,94,2.59,Pevek,1590364204
Tuktoyaktuk,CA,69.45,-133.04,42.8,56,20,20.8,Tuktoyaktuk,1590364205
Sosnovo-Ozerskoye,RU,52.52,111.54,54.86,41,74,4.41,Sosnovo-Ozerskoye,1590364205
Thompson,CA,55.74,-97.86,66.2,27,40,17.22,Thompson,1590364205
Karratha,AU,-20.74,116.85,73.58,66,62,21.12,Karratha,1590364205
Swansea,GB,51.62,-3.94,57.0,93,42,1.59,Swansea,1590364205
Presidente Epitácio,BR,-21.76,-52.12,54.84,82,0,1.01,Presidente Epitácio,1590364205
Half Moon Bay,US,37.46,-122.43,84.2,82,1,12.75,Half Moon Bay,1590364205
Mataura,NZ,-46.19,168.86,52.7,87,84,1.36,Mataura,1590364205
Kostek,RU,43.34,46.85,51.85,74,92,0.89,Kostek,1590364205
Peçanha,BR,-18.55,-42.56,64.8,98,100,1.3,Peçanha,1590364205
Vaini,TO,-21.2,-175.2,78.8,74,40,9.17,Vaini,1590364206
Kozhevnikovo,RU,56.26,83.97,55.0,98,97,5.23,Kozhevnikovo,1590364206
Ponta do Sol,PT,32.67,-17.1,71.01,49,61,3.67,Ponta do Sol,1590364206
New Norfolk,AU,-42.78,147.06,46.99,83,8,0.81,New Norfolk,1590364206
San Andrés,CO,12.58,-81.7,83.93,80,50,8.81,San Andrés,1590364206
Hithadhoo,MV,-0.6,73.08,83.05,76,93,6.91,Hithadhoo,1590364206
Praia da Vitória,PT,38.73,-27.07,64.4,93,40,8.3,Praia da Vitória,1590364207
Philadelphia,US,39.95,-75.16,64.99,68,75,16.11,Philadelphia,1590364171
Butaritari,KI,3.07,172.79,83.37,78,57,9.35,Butaritari,1590364207
Xining,CN,36.62,101.77,45.46,66,60,2.75,Xining,1590364207
